class;tweet_text
1;???? ???? ?? ???? ???? ???? ??? ?????? ??????  ??????  ?????
1;?????? ???????? ??? ?? ????? ?? ?????? ???? ??? ????? ?????? ????????? ????? ????? ????? ???? ???????? ?????
1;?????  ???? ?????? ????? ????? ????? ?????? 170 ???? ????  ???? ??? ???? 37 ????? ??????? ???????? ???????? ?????? ?? ?????? ???? ???????  ??? ????? ??? ???????? ??????? ?????? ?????? ???? 7700 ???   ????_???????
1;?????? ??? ????? ????? ?????? 80  ?????? ???? ???? ????? ??????
1;????  ????? ???? ????? ?????? ?????? ?????? ?????  ??????  ????? ???? ???? ????? ?????
1;??????? ??????? ??????? ????? ???????? ?? ?? ??????? ??????? ????? ?????? ?????? ?? ??????? ?????? ?? ???? ???? ?? ??????? ?? ????? ???? ???? ????? ?????? ?????? ?? ?????
1;??????? ????? ??????? ?????? ????? ??? ??????  ??????  ????_??????_?????? ??? ??????? ?? ????? ?????? ????? ?????? ??????  ???????? ??????  ????? ?????? ????????
1;?????  ????????  ??????  ????? ????? ????????  ????? ???? ????? ????? ?? ???????? ?????? ??????   Q_Street_Journal
1;????  ????? ??????? ?????????  ?? ???? ????? ??????? ??? ??????? ?????  ?????_??????_??????
1;????? ?????? ????? ????? ??? ?? ?? ????? ????
1;?????  ?????? ??????   ?????? ??????  ??????_??????_?????
1;?????_??????_??????           ????? ?????? ???? ?????
1;??????_?_??????   ??? ????????? ?? ??????  ?????? ??? ?????  ??????  ????????? ??????? ???? ?????? ??????? ????? ?????  ???? ????? ??????? ???? ?????  ??? ?????? ??????? ?? ????? ????? ???????  ??? ?? ????? ?????? ??? ????? ?? ????? ?? ???? ??????
1;???? ???  ??? ???? ??????? ????? ???? ????? ????????
1;??????? ?????? ?????? ????? ???????? ??????? ??????? ?????   ????? ?? ????????? ????  ?????? ???????  ?????? ?????  ?????????  ????????  ?????_??????
1;??????  ???? ????? ???  ???? ??????? ???? ???? ??? ???? ????? ???? ???????   ??????? ??? ???    ????? ????? ???? ???? ???? ?? ??? ?????? ????? ?? ???????? ??? ???? ????? ?? ??? ??????? ??????? ????????? ???? ???
1;??????? ????? ??? ?????      ?????? ??????     ???? ??????? ???? ????? ??????? ???????? ?????? ???? ??? ???? ??????     ??????
1;??????_??????  coronavirus  ??????? 30 01 ???? ??????? ????? ?????? ????? ????? ??? ????? 212 ???? ?????? ???????? 8152
1;????? ???? 80 ???? ???? ?2744 ????? ????? ?????? ??????
1;??????_????_???  ????? ???? ?????? ????? ???? ????? ?????? ????? ????? ????? ??? ????? ??????? ????? ???? ?????? 1997 ??? ???? ??? ?? ????? 2010 ??????? 2011 ??????? ?? ???? ????? ??????? ?????? ?????? ?? ???? ???? ???? ????????? ???????
1;????????71 ??????? ??????? ???? ?? ???? ?????? ?? ????? ????? ???? ???? ???? ???? ???  ??????? ???? ????? ?????? ??????? ?? ???????  ???? ????? ???????    ?????  ?????_??????_??????
1;?????? ??? ??????? ?????? ?????? ?? ????? 56 ??? ?????? ?? ????? ?????? ?????? ?????
