word2vec_model_words,word2vec_model_frequency
2687,منظمه
10540,الصحه
6232,العالميه
2947,تدعو
213289,الصين
848,مصدر
26916,فيروس
71774,كورونا
9356,الجديد
1452,ظهور
9441,حاله
6292,اصابه
4262,كيف
672,اكتشاف
1215,الجديده
2975,الوضع
3591,وما
558,التفاصيل
2796,جديد
1015,وضع
800,الاطفال
1118,خطر
4045,العربيه
11017,حتي
15496,اللي
3459,تقول
64291,علي
916,طول
1882,سبب
14958,العراق
919,تعلق
1270,الفساد
656,لديهم
649,فساد
9768,غير
530,وتقول
3148,الحكومه
520,احنه
4864,اتفاقيه
15242,بعد
615,مباشر
4313,النفط
1586,مقابل
3091,عليها
988,الاقتصادي
594,قناه
3144,عبر
886,اساس
928,مستوي
1672,واحده
18237,ولا
739,المهم
705,فرصه
1007,صفقه
502,اصحاب
1130,التجاريه
10396,بين
7828,المتحده
2492,حول
651,زياده
1658,الاقتصاديه
10838,الصينيه
1321,منطقه
2958,الشرق
2807,الاوسط
819,افريقيا
4428,خلال
3188,الاتفاقيه
2688,رءيس
935,عادل
1625,عبد
1254,المهدي
28446,امريكا
4973,الامريكيه
541,تفتح
4676,اكبر
17597,العالم
2880,ليش
687,قانون
2299,شركه
3037,سيء
781,يجي
1131,صحه
1853,وجود
3653,حالات
2968,مستشفي
612,الملك
502,خالد
1479,صحيح
891,كافه
1181,الحالات
1433,وعلي
1002,الساعه
3123,وفي
1406,حال
2507,يتم
1077,الاجراءات
1950,صينيه
506,المشاريع
1113,بغداد
2501,لازم
827,معلومات
8141,قبل
3790,سنه
2325,البلد
619,لين
2311,للصين
1155,حدث
7237,الايغور
615,الفيديو
2283,عندما
614,وكيف
1211,عزل
6319,السعوديه
595,تحتاج
576,البرلمان
622,الاسواق
991,اتفاق
1269,التجاره
673,المرحله
2109,الاولي
1908,اهم
1302,الاتفاق
563,سرقه
6331,مصر
3007,منه
613,السيسي
1256,لكل
13964,روسيا
1740,والصين
1177,مواجهه
2993,الامريكي
5840,الحرب
607,الاخيره
8689,الا
2144,خير
783,شاهد
717,سياسه
896,الجزاءر
808,وذلك
6415,الولايات
645,التزام
657,خطه
2895,الكويت
1417,مجلس
883,الوزراء
1296,عالميا
5284,عدد
6598,الصيني
1158,العراقي
996,الرابط
2311,اميركا
900,التجاري
7248,لكن
1128,بدا
579,ماكو
804,نفسك
1058,بيها
547,يكفي
2161,انك
506,تشوف
6596,مثل
3324,عند
594,امه
4548,يقول
2558,ليبيا
1332,اقل
1046,ملايين
1996,لماذا
1575,بما
895,يجري
674,فهم
789,جزء
670,الامه
715,مشاريع
2154,البلاد
564,مكافحه
8349,اكثر
3165,بشكل
1063,كامل
2163,بكين
20081,ايران
923,تمنع
2012,دخول
1156,شركات
2260,لبنان
1729,الاقتصاد
778,يوميا
723,برميل
1655,نفط
650,قطار
1248,فيديو
883,فعل
3682,صيني
3278,مره
526,بنسبه
910,الوطن
1681,سور
3175,العظيم
537,بانه
1381,يوجد
599,يستطيع
644,لقد
759,الصينيون
1821,العالمي
608,حقوق
1598,الانسان
7734,دوله
2050,السنه
594,خاص
747,دور
2835,يمكن
1494,حكومه
630,China
2142,كبير
808,كونغ
968,والمسلمين
787,نظام
568,بخصوص
1056,حصل
3458,الشعب
1161,فلا
1287,الشرقيه
1013,لمده
830,عرض
556,الامم
1467,الامر
844,بينما
3919,احد
1134,يعلم
621,سوي
1518,مثلا
10241,كان
2612,سوريا
752,طلب
778,الامن
3584,مسلمي
2834,اسراءيل
528,فلم
4158,ليس
960,امريكي
4791,فقط
555,صراع
1210,مصالح
1482,اقتصاديه
1735,تريد
9537,انتشار
745,يهدد
2183,تعرف
2292,طريق
617,شمال
756,غرب
739,شكل
902,جنوب
5402,مدينه
745,جماعه
4066,راح
619,اخذ
583,وبعد
620,بيه
537,وكاله
799,تخفض
996,موضوع
1993,تسجيل
953,الرءوي
3729,مناطق
1136,الصحيه
782,ذات
979,انسان
655,اولي
808,صوره
551,تقرير
5062,عاجل
7864,الدول
1179,الاسلاميه
2235,يجب
1533,بشان
6224,مليون
4321,شخص
1488,السلطات
671,حقيقه
536,كميه
1891,علينا
1722,هاي
623,شلون
567,الشيخ
1701,الاول
5229,تركيا
853,يطلع
1212,فلسطين
1054,مجموعه
576,ماله
2370,الامراض
32869,الله
1156,تري
1990,کورونا
1111,وسط
592,بيان
593,البيت
1552,المنتجات
604,رحله
686,السماء
523,مءات
1058,تلك
2895,المنطقه
1017,السيطره
1703,اصلا
3061,احنا
911,قادمه
1548,استخدام
1277,خطير
594,المستشفيات
527,احتمال
1675,البشر
6724,الفيروس
2277,انتشر
948,انتشاره
1050,اعراض
839,الالتهاب
970,لدي
1718,المصابين
978,السفاره
6899,واحد
567,يعلن
1787,الدوليه
637,الاحتلال
1953,طبعا
594,هواوي
2237,بريطانيا
537,بعدم
545,القضاء
675,نسمه
2053,بكل
668,وحتي
738,رقم
849,للعالم
2968,كله
649,تبقي
2118,اخري
1158,تقوم
2770,اخر
1864,بدون
734,سلاح
544,دعم
767,الفتره
1275,مما
2734,الارض
534,بدلا
630,المال
1538,دون
1598,سوف
1394,اقتصاديا
2945,امريكيه
1513,الدولي
837,نوع
791,هكذا
909,وجه
1511,لانها
722,تستطيع
1147,ظهر
1391,تءكد
1128,للمسلمين
598,اشخاص
1414,بدايه
1513,اخبار
2830,القوه
746,العظمي
10243,الخليج
1419,غامض
1084,قويه
4656,بعض
640,حزب
592,شعوب
642,سياده
1591,ولم
574,الشعوب
1329,واشنطن
736,عقوبات
2904,وزير
721,المزيد
1725,المملكه
2517,بها
872,تويتر
790,النوويه
779,الخلاف
1893,اوروبا
565,السياسي
647,يعمل
538,الحزب
558,الطلاب
3265,الامارات
2016,العام
636,تاريخ
661,زايد
898,طبيعي
6962,لان
632,زين
2885,فرنسا
994,ايطاليا
1183,ودول
1095,وغيرها
998,معها
1040,ربما
2621,كنت
4097,اليابان
5427,كوريا
2375,المانيا
626,الاوروبي
5050,عام
1072,الشركات
678,العراقيين
3352,موقع
504,فجاه
2215,انهم
800,اغلاق
685,الاميركيه
6297,هناك
1132,يصير
729,وعدم
719,يعد
1604,اعلنت
1445,قوي
6054,حرب
874,العامه
1753,اجراءات
508,ماليه
2663,الدوله
548,رسميا
4325,البحريه
1864,بدات
590,الفضاء
582,حياه
1565,خارج
517,كوكب
2068,عدم
1913,بان
2245,حيث
6782,دول
659,عربيه
1420,الاردن
683,الارهاب
1011,الكلام
882,الاف
1688,بناء
1954,اقتصاد
504,بني
657,ترمب
5424,انت
2395,عندهم
1327,عنا
5634,عشان
6714,فيه
2028,افضل
3151,منهم
880,شوف
954,صارت
1025,سنين
1265,فكره
953,تبدا
849,طريقه
641,عمليه
874,ارض
2196,محمد
509,الشعبي
1001,الاعلام
5026,جدا
569,عشر
692,جاء
2182,قتل
2460,فقد
3909,الهند
676,ماليزيا
1344,العلاقات
2860,وهناك
621,تصير
878,ازمه
1407,شويه
516,يومين
606,منك
1441,فيهم
2171,مسلمين
1848,الصينيين
647,الماضيه
2044,كبيره
2874,قوه
538,تسلا
2192,مقتل
665,نتيجه
732,التواصل
839,طاءره
808,الاخبار
2855,جديده
3540,وزاره
1666,اعتقد
913,تطبيق
925,بومبيو
1137,اغتيال
4360,سليماني
3166,ارتفاع
1392,رغم
782,الخبر
8375,انا
2976,شهر
3074,عليهم
1027,بينهم
10823,المسلمين
2011,الخارجيه
1113,امر
803,الحقيقه
610,خارجيه
1226,سعر
1406,قطر
514,جبل
921,الخ
2219,الموضوع
695,سياسيه
1754,شعب
1981,الايراني
882,تسجل
615,البضاءع
691,الرياض
1183,دبي
1202,العلم
2158,الرءيس
571,جمهوريه
1164,الشعبيه
1321,خاصه
1019,مشروع
665,عاءله
614,رجال
1065,نحو
654,المصدر
2710,نفس
1906,الوقت
713,بالعراق
891,المجتمع
735,صحي
1108,العراقيه
1208,وصلت
2128,لامريكا
1192,تقتل
930,الصينين
908,علاقه
696,بيع
803,اقليم
607,اقتصادها
4471,ترامب
931,قالت
762,لديها
1124,نقل
659,السيارات
1097,اسعار
925,الذهب
22356,وباء
3311,شيء
554,الوحيده
657,تماما
2577,العرب
573,الدكتور
3843,ولكن
