sample_3000_tweets,class
"المفترض ان نبدا حمانا الله الكوارث
 والامراض عامهان نكون علي اتم جاهزيه
 بانشاء مستشفاياات متخصصه ومجهزه في
 كل منطقه مهمتها الحوادث والكوارث
 النادره لاقدر الله ان وبذلك استفدنا
 الحيطه ومعالجه الازمات بسهوله وتخفف
 الزحام عن المستسفيات العامه   فيروس_كورونا_الصيني  ",0
"حرب بارده عالميه ومعروف هالشي 
 كورونا_الجديد  ",0
راح يجيبو كورونا اون بغسون         ,0
تقارير  الصين تجاهلت معلومات طبيب حذر كورونا  ,0
الصين تختلف عنا بلد  غول اكل العالم اقتصاديا  وتدميره او محاوله تركيعه يصب في مصلحه المنافسين له اما فمساكين ليس عندنا امكانيه لمجارات  الدول العظيمه والله سبحانه حافظ  ,0
الصحراء انتشرت في اليابان وتهدد العالم   خدعه المخترقين بواسطه كورونا  ,0
" الرءيس هادي وناءبه  
الي رءيس الحكومه   
ارسلوا طاءره 
لانقاذ ابناء اليمن في  الصين  
 فيروس_كورونا يهدد حياتهم  ",0
"بضاعه الصين ما بتكون شغيله فيروس لسبب الفيروس بموت بعد ساعتين وجوده علي سطح ميت  
الدول وقفت تنقلات المدنيه فقط  اما التجاره شغاله  طبعا مع اتباع معايير سلامه علي الطاقم  ",0
مامدي التدابير الوقاءيه في المطارات السعوده لمواجهه كورونا  الصين  ,0
"تاجيل سباق فورمولا الصيني  كورونا
  ",0
"كل دول العالم اجلات رعايها الصين
الا اليمن تقول لرعايها كلوا ثوم وبصل وفلفل ان شاء الله ينفعكم ضد كورونا   
حتي رءيس الجمهوريه ضارب براسه عرض الحيط ولا كانه رءيس لهءلاء الناس  ",0
"تقعد في البلد الدولار يزيد ويزيد تقدم لوتري ترامب يقول مافي طريقه تفكر في السمبك بريطانيا تطلع الاتحاد الاوربي 
يشيلوك منحه في الصين تظهر ليهم كرونا تلحسك تقول تجازف ليك عقد عمل في الامارات وكاله يودوك مرتزقه في ليبيا  ",0
بتبت اخاف فيج كورونا وعاديتيني     ,0
" عاجل 
 الوصال  تعليق الرحلات الجويه بين  السلطنه  الصين حتي اشعارا اخر 

فيروس_كرونا

  ",0
كورونا مش انفلونزا ترا  ,0
" 
ليس الغريب ان تصاب بعض مدن  الصين الوباء   الغريب لماذا تاخرت عنهم الاوبءه القاتله  صراحه اوسخ ناس في الاكل  
 
 البحرين  ",0
عرف السبب بطل العجب  كورونا     ,0
تري تتكلمون عن دوله مثل  الصين  اللي نوعا ما النظام الصحي متطور  المصيبه لو انتشر في بلدان اساسا موبوءه وفقيره ونظامها الصحي سيء الكارثه   ,0
"هقولك حاجه غاندي اساس الزواج الناجح يكمن في حاجتين
البعد عن النيش سبب كان    
والسبب التاني تبعد عن الحلل التيفال ولا قريب ولا بعيد 
ثالثا الاكل ايا كان تبدي اعجابك الشديد به ولو فيه كورونا  ٠٠والله الموفق والمستعان  ",0
بعد جايين مدينه ووهان مصدر الفيروس  ,0
"اعراض فيروس  كورونا
نفس الاعراض لما مرتك تمسك
تليفونك  
ارتفاع الحراره تسرع نبضات القلب  قلق  توتر  اصفرار  اسهال والم بطن شديد       ",0
"کورونا هستم

به کی منتقل شم بغلش کنی     ",0
المفروض العزل يكون بمكان طبي ومجهز وبعيد عن الناس مو شقه    واصلا المفروض كل ملابسهم تنرمي جو الصين  ,0
الوضع في الصين زفت خلو بالكم  ,0
طبعكن مهري الكورونا كل ال ما فيكن حدا بيعرف التطبيع شو يعني  ,0
عاجل  الصين تعلن ارتفاع عدد الوفيات فيروس كورونا 360 بعد تسجيل 56 حاله وفاه جديده  ,0
الشرقيه كورونا  ,0
عزل الصين  ,0
اه شكلها  الكورونا ولا ايه    ,0
"لما ابوك يشوف نتيجتك 
  انت تروح الصين الصين حلوه
   ",0
الصحه العالميه  معظم الدول ستكون مجهزه للكشف عن  فيروس_كورونا خلال اسبوع  ,0
"  حتي في  السعوديه
 
لم تسجل حاله مصابه  فيروس_كورونا 

  فحص  3152  مسافرا
قدموا برحلات مباشره  الصين

  فحص عدد  868  مسافرا
قدموا برحلات غير مباشره  الصين

  فحص  62  عينه محليا

 انتشار اطقم طبيه في المنافذ  البريه  الجويه  البحريه   ",0
ولا عمرنا سمعنا عن وباء دول جه في فصل الصيف  ,0
لاباس فليصلنا المرض وتنتهي البشريه المجرمه تكالبت علينا كل حدب وصوب  كورونا تحياتي لك  ,0
اقلاع طاءره جزاءريه لاجلاء الرعايا المقيمين في ووهان الصينيه  ,0
"متحدث الوزراء   السيسي امر بارسال 10 اطنان مستلزمات طبيه وقاءيه الصين   فيديو 
 صدي_البلد  البلد
  ",0
الله يبلاكم بمرض الكورونا ويشغلكم انفسكم وماعاد نشوف دعاياتكم اللي غثيتونافيها حسبي الله ونعم الوكيل  ,0
