class,tweet_text
0,شوف ازي جدع  الله اومال احنا طول النهار امس بنزل بوسات علي فيس الصين مثلا
1,فيروس كورونا ما يانا افريقيا امي تقول لا تسيرين تاكلين شوشي لانه الصين
0,طب مسلمين الصين اللي بيموتو الفيرس ذنب برده  الوباء مبيفرقش تقي
0,وقعوا الصين وامريكا
1,عاجل عبدالمهدي يتلقي اتصالا هاتفيا وزير الخارجيه الامريكي بومبيو ويءكد علي علاقات الصداقه بين البلدين وعلي ادانه الاعتداءات استهدفت السفاره الامريكيه في بغداد    pona_news  العراق  كورونا_الجديد
0,نبرا الله منكم افعالكم اليس محرقه المسلمين في  سوريا  الصين  فلسطين  جنوب_افريقيا  بورما احق ان تنصر الله ينتقم منكم ولاه اموركم العملاء اعداء الاسلام والمسلمين  علماء_السلاطين  رابطه_العالم_الاسلامي
0,علي ما اذكر معظم الفيروسات  ما عدا الايبولا  كلها مصدرها الصين
1,الرءيس التنفيذي لشركه  سابك يري تباطءا في 2020 رغم المبكر معرفه الاثر الكامل لفيروس كورونا علي الاقتصاد العالمي  الشركه اكدت عدم اتخاذ قرار لمنع موظفيها السفر  الصين حتي الان  موسم_النتاءج  تاسي
1,اخوي في تايلند ادق عشان يرجعون يكنسلون الايام الباقيه عاد ومرته وعياله رايحين يجيبون الكورونا ويجون واخوي مصمم يكمل مابقي له الرحله بالرغم انهم موزعين عليهم كمامات     وعادي ماخاف ولا قمط ياوووووك بس
0,والكارثه تستطيع الصين ارسال قوات عسكريه لحمايه الشركات الصينيه بالعراق في حاله تعرضها للخطر
1,عطفا علي ما يتم تداوله في وساءل الاعلام ووساءل التواصل الاجتماعي عن حالات مصابه بفيروس الكورونا المستجد 2019 nCoV دخلت لبنان جنسيات لبنانيه او غير لبنانيه يهم وزاره الصحه العامه ان توضح ما يلي  ان الاخبار ملفقه
0,الصين_ارهابيه حتي لا ننسي  محمد_صلاح
0,بكره مشايخ السلاطين والملوك بدعو للجهاد في الصين كرمال عين امريكا
0,اميركا السبب لضرب الاقتصاد الصيني وتركيع الصين بعتت فيروس
0,اقلعت الطاءره بمنتصف الليل وبوقت هادء ومفضل عند الاغلبيه وتحديدا في الساعه 12 41 صباحا  بالتوقيت الماليزي  وكان المقرر تهبط في الصين الساعه 6 30 صباحا ولكن  بعد 38 دقيقه الاقلاع اختفت الطاءره شاشات الرادار الخاصه  والغريب ما ارسلت استغاثه قبل اختفاءها
1,بعيدا عن الشعارات  يظهر المعدن الاصيل في الشداءد  والان يظهر دور المراقب الصحي في مجابهه فيروس كورونا الغامض في منافذ الجمهوريه المختلفه  تحيه طيبه خالصه القلب لجميع اصدقاءي المراقبين الصحيين في الحجر الصحي في انحاء مصر  ويارب يحفظ مصر
1,اغلاق كل الطرق الرءيسيه لمدينه  ووهان في الصين يسكنها مليون نسمه لمنع تفشي وباء  كورونا
