frequency,words
100184,عاجل
173397,وزاره
24446,الدفاع
18590,الاميركيه
20075,البنتاغون
69755,تعلن
11703,استعدادها
122741,لفرض
22908,الحجر
27600,الصحي
103096,علي
94469,شخص
100066,عاءدين
38650,الولايات
33071,المتحده
23643,الخارج
127127,لمنع
40144,انتشار
109803,فيروس
115625,كورونا
34570,المستجد
108191,فعلا
43150,ايش
105048,فاءده
32523,اللي
138366,مسوينه
28392,الطلاب
36986,الموظفين
192588,يخالطونهم
52835,بدون
115032,كمامات
195510,يطلعون
99476,طلعوا
7830,اجل
129161,ما
77688,حبسهم
139427,مطار
30815,القاهره
155637,واجراءات
108041,فضلك
83953,دع
6237,ابنتي
72034,تمر
39134,ام
122708,لفتاه
138896,مصابه
46936,بالسرطان
64410,تتوسل
117699,لاخراج
6236,ابنتها
143320,منطقه
122829,لفيروس
18513,الامريكيه
35776,المفروض
17706,الاشخاص
74756,جالسين
140526,معهم
191387,يتميلحون
178956,ولا
103169,عليهم
164196,والي
55072,بطاقات
185573,ويبدو
41581,انهم
27560,الصحه
192092,يحجر
152892,هذولي
195890,يعرفوا
5880,ابجديات
100039,ظولا
80036,حول
112296,قوه
16475,الا
48005,بالله
187940,وينك
29354,العلم
175548,وصلك
175176,وشوفه
104106,عيونك
98793,طال
103326,عمرك
109633,في
61570,بيقول
124778,للساده
77542,حاملي
40699,انزلوا
28166,الطاءرات
9682,ادخلوا
133116,مبني
35236,المطار
156059,واختلطوا
49313,بباقي
34516,المسافرين
30751,القادمين
171043,وحتي
142433,ممكن
67774,تسلموا
41718,اهاليكم
36456,المنتظرين
128663,ليكم
54691,بشوق
127694,لهفه
55525,بعدها
69263,تعالوا
149249,نفحصكم
39504,امريكا
121003,لحصار
127766,لو
153611,هنتريق
97910,صور
106115,فالمطار
190269,يبقي
7010,اتعشم
149835,نكون
58537,بنتريق
143396,منظومه
138421,مش
95449,شكل
72063,تمريض
41961,او
84203,دكاتره
158005,واقفين
136948,مرغمين
171766,وخايفين
6539,اتجابوا
24207,الدار
126210,للنار
104930,غير
95378,شكرا
121562,لرصد
110755,قبل
83431,دخوله
139077,مصر
32393,الله
177936,وقت
27937,الصين
72205,تمهد
122208,لطريق
23067,الحرير
120359,لتغزو
28680,العالم
190108,يبدا
82492,خوفا
39463,امراضها
116641,لا
54960,بضاءعها
16301,ال
103442,عملينه
84522,ده
12577,اسمه
56745,بكسر
22712,الحاء
99363,طلاب
6218,ابناء
38515,الوطن
7849,اجلاءهم
51380,بتوجيهات
64818,تجهيزات
100947,عاليه
173145,ورفاهيه
171822,وخدمه
136036,مدار
25857,الساعه
79682,حماهم
114646,كل
94611,شر
14557,اعلن
39904,ان
173639,وزير
157848,وافق
99390,طلب
124428,للحصول
34508,المساعده
160464,والخدمات
18764,الانسانيه
119363,لايواء
110883,قد
192009,يحتاجون
103568,عند
175657,وصولهم
26231,السفر
22191,الجديد
143349,منظر
18060,الافراد
49639,بتاع
31890,الكورونا
43941,باءس
75261,جدا
27883,الصور
114887,كلها
73345,توتر
170787,وجوم
39469,امراه
98064,صينيه
57845,بمرض
66776,ترفض
148035,نسال
29251,العفو
161709,والعافيه
98928,طبعا
74190,ثامر
114482,كفا
185218,ووفا
123185,لكن
11084,ازيدك
27116,الشعر
60227,بيت
80889,خبراء
22777,الحاضر
